regional_council,territorial_authority,education_region,total_schools_directory,schools_with_rolls,total_students_2025,schools_with_teachers,total_teacher_headcount_latest,total_teacher_ftte_latest,schools_in_ptr_overlap,students_in_ptr_overlap,teacher_headcount_in_ptr_overlap,teacher_ftte_in_ptr_overlap,avg_students_per_school_2025,ptr_headcount_overlap,ptr_ftte_overlap,roll_year,teacher_year
Canterbury Region,Hurunui District,"Canterbury, Chatham Islands",13,13.0,1520.0,13.0,157.0,123.35430000000001,13.0,1520.0,157.0,123.35430000000001,116.92307692307692,9.681528662420382,12.322229545301623,2025,2024
Waikato Region,Waitomo District,Waikato,15,15.0,1497.0,15.0,153.0,129.9844,15.0,1497.0,153.0,129.9844,99.8,9.784313725490197,11.516766627379901,2025,2024
Hawke's Bay Region,Wairoa District,"Hawke's Bay, Tairāwhiti",15,14.0,1447.0,14.0,152.0,124.2396,14.0,1447.0,152.0,124.23960000000001,103.35714285714286,9.519736842105264,11.646850118641721,2025,2024
Waikato Region,Ōtorohanga District,Waikato,12,12.0,1344.0,12.0,125.0,102.0372,12.0,1344.0,125.0,102.0372,112.0,10.752,13.17166680387153,2025,2024
West Coast Region,Buller District,"Nelson, Marlborough, West Coast",9,9.0,1300.0,9.0,134.0,99.91550000000001,9.0,1300.0,134.0,99.91550000000001,144.44444444444446,9.701492537313433,13.010994290175196,2025,2024
Manawatū-Whanganui Region,Ruapehu District,Waikato,15,15.0,1223.0,15.0,144.0,114.1229,15.0,1223.0,144.0,114.1229,81.53333333333333,8.493055555555555,10.71651701805685,2025,2024
West Coast Region,Westland District,"Nelson, Marlborough, West Coast",12,12.0,1133.0,12.0,121.0,97.25899999999999,12.0,1133.0,121.0,97.25899999999999,94.41666666666667,9.363636363636363,11.64930751909849,2025,2024
Bay of Plenty Region,Kawerau District,"Bay of Plenty, Waiariki",5,5.0,1032.0,4.0,91.0,83.65610000000001,4.0,1020.0,91.0,83.65610000000001,206.4,11.208791208791208,12.192774944086562,2025,2024
Auckland Region,Waiheke Local Board Area,Tāmaki Herenga Manawa,4,4.0,931.0,3.0,85.0,65.76140000000001,3.0,916.0,85.0,65.76140000000001,232.75,10.776470588235295,13.92914384426122,2025,2024
Wellington Region,Carterton District,Wellington,6,6.0,924.0,6.0,84.0,66.0335,6.0,924.0,84.0,66.0335,154.0,11.0,13.992897544428207,2025,2024
