year,school_id,school_name,school_type,authority,gender,regional_council,education_region,territorial_authority,takiwa,total_students,male_students,female_students,another_gender_not_stated_students,european_pakeha_students,maori_students,pacific_students,asian_students,melaa_students,other_students
2025,1619,Te Kura Ākonga o Manurewa,Full Primary,State: Integrated,Co-Ed,Auckland Region,Tāmaki Herenga Waka,Auckland- Manurewa,Te Tai Raro,81,49.0,32.0,0.0,0,81,0,0,0,0
2025,2819,Cardinal McKeefry School (Wilton),Full Primary,State: Integrated,Co-Ed,Wellington Region,Wellington,Wellington City,Te Tai Runga,18,10.0,8.0,0.0,7,1,2,6,2,0
2025,3002,St Bernard's School (Brooklyn),Full Primary,State: Integrated,Co-Ed,Wellington Region,Wellington,Wellington City,Te Tai Runga,53,27.0,26.0,0.0,5,7,2,26,13,0
2025,3657,Nikau School,Contributing,Private: Fully Reg.,Co-Ed,Auckland Region,Tāmaki Herenga Tāngata,Auckland- Rodney,Te Tai Raro,10,5.0,5.0,0.0,9,0,0,1,0,0
2025,682,Eden Christian Academy,Composite (Year 1-15),Private: Fully Reg.,Co-Ed,Waikato Region,Tāmaki Herenga Waka,Waikato District,Te Tai Raro,55,33.0,22.0,0.0,20,7,3,22,3,0
2025,902,Auckland Senior College,Secondary (Year 9-15),Private: Prov.Reg.,Co-Ed,Auckland Region,Tāmaki Herenga Manawa,Auckland- Waitematā,Te Tai Raro,0,0.0,0.0,0.0,0,0,0,0,0,0
