case,emirate,education_type,gender,nationality,curriculum,students,schools,teachers,ptr,pf_rows,score_rows,nat_rows,avg_score
emirate=SHARJAH | education_type=Applied Technology High School (ATHS) | gender=Male | curriculum=ATHS,SHARJAH,Applied Technology High School (ATHS),Male,,ATHS,454,1,53,8.566,0,0,0,
emirate=SHARJAH | education_type=Continuous Education | curriculum=Ministry of Education Curriculum,SHARJAH,Continuous Education,,,Ministry of Education Curriculum,1936,1,0,,0,0,0,
emirate=SHARJAH | education_type=Continuous Education | gender=Female | curriculum=Ministry of Education Curriculum,SHARJAH,Continuous Education,Female,,Ministry of Education Curriculum,757,1,0,,0,0,0,
emirate=SHARJAH | education_type=Continuous Education | gender=Male | curriculum=Ministry of Education Curriculum,SHARJAH,Continuous Education,Male,,Ministry of Education Curriculum,1179,1,0,,0,0,0,
emirate=SHARJAH | education_type=Private Schools MOE Curriculum | curriculum=U.A.E,SHARJAH,Private Schools MOE Curriculum,,,U.A.E,36823,31,2728,13.4982,0,0,0,
emirate=SHARJAH | education_type=Private Schools MOE Curriculum | gender=Female | curriculum=U.A.E,SHARJAH,Private Schools MOE Curriculum,Female,,U.A.E,18335,31,2728,6.721,0,0,0,
emirate=SHARJAH | education_type=Private Schools MOE Curriculum | gender=Male | curriculum=U.A.E,SHARJAH,Private Schools MOE Curriculum,Male,,U.A.E,18488,31,2728,6.7771,0,0,0,
emirate=SHARJAH | education_type=Public | curriculum=Ministry of Education Curriculum,SHARJAH,Public,,,Ministry of Education Curriculum,25593,56,1773,14.4349,0,0,0,
emirate=SHARJAH | education_type=Public | gender=Female | curriculum=Ministry of Education Curriculum,SHARJAH,Public,Female,,Ministry of Education Curriculum,13561,56,1773,7.6486,0,0,0,
emirate=SHARJAH | education_type=Public | gender=Male | curriculum=Ministry of Education Curriculum,SHARJAH,Public,Male,,Ministry of Education Curriculum,12032,56,1773,6.7862,0,0,0,
emirate=SHARJAH | education_type=Public Ajyal | curriculum=Ministry of Education Curriculum,SHARJAH,Public Ajyal,,,Ministry of Education Curriculum,1444,2,89,16.2247,0,0,0,
emirate=SHARJAH | education_type=Public Ajyal | gender=Female | curriculum=Ministry of Education Curriculum,SHARJAH,Public Ajyal,Female,,Ministry of Education Curriculum,722,2,89,8.1124,0,0,0,
emirate=SHARJAH | education_type=Public Ajyal | gender=Male | curriculum=Ministry of Education Curriculum,SHARJAH,Public Ajyal,Male,,Ministry of Education Curriculum,722,2,89,8.1124,0,0,0,
emirate=Sharjah / Eastern | education_type=Public | curriculum=Ministry of Education Curriculum,Sharjah / Eastern,Public,,,Ministry of Education Curriculum,16993,36,1077,15.7781,0,0,0,
emirate=Sharjah / Eastern | education_type=Public | gender=Female | curriculum=Ministry of Education Curriculum,Sharjah / Eastern,Public,Female,,Ministry of Education Curriculum,8597,36,1077,7.9824,0,0,0,
emirate=Sharjah / Eastern | education_type=Public | gender=Male | curriculum=Ministry of Education Curriculum,Sharjah / Eastern,Public,Male,,Ministry of Education Curriculum,8396,36,1077,7.7957,0,0,0,
emirate=Sharjah / Eastern | education_type=Public Ajyal | curriculum=Ministry of Education Curriculum,Sharjah / Eastern,Public Ajyal,,,Ministry of Education Curriculum,1310,2,107,12.243,0,0,0,
emirate=Sharjah / Eastern | education_type=Public Ajyal | gender=Female | curriculum=Ministry of Education Curriculum,Sharjah / Eastern,Public Ajyal,Female,,Ministry of Education Curriculum,678,2,107,6.3364,0,0,0,
emirate=Sharjah / Eastern | education_type=Public Ajyal | gender=Male | curriculum=Ministry of Education Curriculum,Sharjah / Eastern,Public Ajyal,Male,,Ministry of Education Curriculum,632,2,107,5.9065,0,0,0,
emirate=Umm Al Quwain | education_type=Applied Technology High School (ATHS) | curriculum=ATHS,Umm Al Quwain,Applied Technology High School (ATHS),,,ATHS,692,2,73,9.4795,0,0,0,
emirate=Umm Al Quwain | education_type=Applied Technology High School (ATHS) | gender=Female | curriculum=ATHS,Umm Al Quwain,Applied Technology High School (ATHS),Female,,ATHS,470,2,73,6.4384,0,0,0,
emirate=Umm Al Quwain | education_type=Applied Technology High School (ATHS) | gender=Male | curriculum=ATHS,Umm Al Quwain,Applied Technology High School (ATHS),Male,,ATHS,222,2,73,3.0411,0,0,0,
emirate=Umm Al Quwain | education_type=Continuous Education | curriculum=Ministry of Education Curriculum,Umm Al Quwain,Continuous Education,,,Ministry of Education Curriculum,559,1,0,,0,0,0,
emirate=Umm Al Quwain | education_type=Continuous Education | gender=Female | curriculum=Ministry of Education Curriculum,Umm Al Quwain,Continuous Education,Female,,Ministry of Education Curriculum,163,1,0,,0,0,0,
emirate=Umm Al Quwain | education_type=Continuous Education | gender=Male | curriculum=Ministry of Education Curriculum,Umm Al Quwain,Continuous Education,Male,,Ministry of Education Curriculum,396,1,0,,0,0,0,
emirate=Umm Al Quwain | education_type=Private Schools MOE Curriculum | curriculum=U.A.E,Umm Al Quwain,Private Schools MOE Curriculum,,,U.A.E,1988,2,155,12.8258,0,0,0,
