case,emirate,education_type,gender,nationality,curriculum,students,schools,teachers,ptr,pf_rows,score_rows,nat_rows,avg_score
emirate=ABU DHABI | education_type=Public | gender=Female | curriculum=Ministry of Education Curriculum,ABU DHABI,Public,Female,,Ministry of Education Curriculum,28336,90,4897,5.7864,0,0,0,
emirate=ABU DHABI | education_type=Public | gender=Male | curriculum=Ministry of Education Curriculum,ABU DHABI,Public,Male,,Ministry of Education Curriculum,26256,90,4897,5.3616,0,0,0,
emirate=AJMAN | education_type=Applied Technology High School (ATHS) | curriculum=ATHS,AJMAN,Applied Technology High School (ATHS),,,ATHS,1289,2,115,11.2087,0,0,0,
emirate=AJMAN | education_type=Applied Technology High School (ATHS) | gender=Female | curriculum=ATHS,AJMAN,Applied Technology High School (ATHS),Female,,ATHS,828,2,115,7.2,0,0,0,
emirate=AJMAN | education_type=Applied Technology High School (ATHS) | gender=Male | curriculum=ATHS,AJMAN,Applied Technology High School (ATHS),Male,,ATHS,461,2,115,4.0087,0,0,0,
emirate=AJMAN | education_type=Continuous Education | curriculum=Ministry of Education Curriculum,AJMAN,Continuous Education,,,Ministry of Education Curriculum,1382,1,0,,0,0,0,
emirate=AJMAN | education_type=Continuous Education | gender=Female | curriculum=Ministry of Education Curriculum,AJMAN,Continuous Education,Female,,Ministry of Education Curriculum,561,1,0,,0,0,0,
emirate=AJMAN | education_type=Continuous Education | gender=Male | curriculum=Ministry of Education Curriculum,AJMAN,Continuous Education,Male,,Ministry of Education Curriculum,821,1,0,,0,0,0,
emirate=AJMAN | education_type=Private Schools MOE Curriculum | curriculum=U.A.E,AJMAN,Private Schools MOE Curriculum,,,U.A.E,22461,14,1533,14.6517,0,0,0,
emirate=AJMAN | education_type=Private Schools MOE Curriculum | gender=Female | curriculum=U.A.E,AJMAN,Private Schools MOE Curriculum,Female,,U.A.E,10630,14,1533,6.9341,0,0,0,
emirate=AJMAN | education_type=Private Schools MOE Curriculum | gender=Male | curriculum=U.A.E,AJMAN,Private Schools MOE Curriculum,Male,,U.A.E,11831,14,1533,7.7175,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=American,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,,,American,66855,6,3690,18.1179,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=American,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Female,,American,31640,6,3690,8.5745,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=American,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Male,,American,35215,6,3690,9.5434,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=G.C.S.E,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,,,G.C.S.E,66855,10,3690,18.1179,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=G.C.S.E,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Female,,G.C.S.E,31640,10,3690,8.5745,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=G.C.S.E,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Male,,G.C.S.E,35215,10,3690,9.5434,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=I.B.,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,,,I.B.,66855,1,3690,18.1179,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=I.B.,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Female,,I.B.,31640,1,3690,8.5745,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=I.B.,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Male,,I.B.,35215,1,3690,9.5434,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=Indian,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,,,Indian,66855,13,3690,18.1179,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=Indian,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Female,,Indian,31640,13,3690,8.5745,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=Indian,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Male,,Indian,35215,13,3690,9.5434,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=Pakistani,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,,,Pakistani,66855,2,3690,18.1179,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=Pakistani,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Female,,Pakistani,31640,2,3690,8.5745,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=Pakistani,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Male,,Pakistani,35215,2,3690,9.5434,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=Special,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,,,Special,66855,1,3690,18.1179,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=Special,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Female,,Special,31640,1,3690,8.5745,0,0,0,
emirate=AJMAN | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=Special,AJMAN,Private Schools Non MOE Curriculum in the four northern emirates,Male,,Special,35215,1,3690,9.5434,0,0,0,
emirate=AJMAN | education_type=Public | curriculum=Ministry of Education Curriculum,AJMAN,Public,,,Ministry of Education Curriculum,16292,31,1059,15.3843,0,0,0,
emirate=AJMAN | education_type=Public | gender=Female | curriculum=Ministry of Education Curriculum,AJMAN,Public,Female,,Ministry of Education Curriculum,8411,31,1059,7.9424,0,0,0,
emirate=AJMAN | education_type=Public | gender=Male | curriculum=Ministry of Education Curriculum,AJMAN,Public,Male,,Ministry of Education Curriculum,7881,31,1059,7.4419,0,0,0,
emirate=AJMAN | education_type=Public Ajyal | curriculum=Ministry of Education Curriculum,AJMAN,Public Ajyal,,,Ministry of Education Curriculum,1717,3,135,12.7185,0,0,0,
emirate=AJMAN | education_type=Public Ajyal | gender=Female | curriculum=Ministry of Education Curriculum,AJMAN,Public Ajyal,Female,,Ministry of Education Curriculum,875,3,135,6.4815,0,0,0,
emirate=AJMAN | education_type=Public Ajyal | gender=Male | curriculum=Ministry of Education Curriculum,AJMAN,Public Ajyal,Male,,Ministry of Education Curriculum,842,3,135,6.237,0,0,0,
emirate=AL AIN | education_type=Continuous Education | curriculum=Ministry of Education Curriculum,AL AIN,Continuous Education,,,Ministry of Education Curriculum,2950,1,0,,0,0,0,
emirate=AL AIN | education_type=Continuous Education | gender=Female | curriculum=Ministry of Education Curriculum,AL AIN,Continuous Education,Female,,Ministry of Education Curriculum,1082,1,0,,0,0,0,
emirate=AL AIN | education_type=Continuous Education | gender=Male | curriculum=Ministry of Education Curriculum,AL AIN,Continuous Education,Male,,Ministry of Education Curriculum,1868,1,0,,0,0,0,
emirate=AL AIN | education_type=Private Schools MOE Curriculum | curriculum=U.A.E,AL AIN,Private Schools MOE Curriculum,,,U.A.E,15151,20,1444,10.4924,0,0,0,
emirate=AL AIN | education_type=Private Schools MOE Curriculum | gender=Female | curriculum=U.A.E,AL AIN,Private Schools MOE Curriculum,Female,,U.A.E,7096,20,1444,4.9141,0,0,0,
emirate=AL AIN | education_type=Private Schools MOE Curriculum | gender=Male | curriculum=U.A.E,AL AIN,Private Schools MOE Curriculum,Male,,U.A.E,8055,20,1444,5.5783,0,0,0,
emirate=AL AIN | education_type=Public | curriculum=Ministry of Education Curriculum,AL AIN,Public,,,Ministry of Education Curriculum,49960,96,4763,10.4892,0,0,0,
emirate=AL AIN | education_type=Public | gender=Female | curriculum=Ministry of Education Curriculum,AL AIN,Public,Female,,Ministry of Education Curriculum,26464,96,4763,5.5562,0,0,0,
emirate=AL AIN | education_type=Public | gender=Male | curriculum=Ministry of Education Curriculum,AL AIN,Public,Male,,Ministry of Education Curriculum,23496,96,4763,4.933,0,0,0,
emirate=AL DHAFRA | education_type=Continuous Education | curriculum=Ministry of Education Curriculum,AL DHAFRA,Continuous Education,,,Ministry of Education Curriculum,343,1,0,,0,0,0,
emirate=AL DHAFRA | education_type=Continuous Education | gender=Female | curriculum=Ministry of Education Curriculum,AL DHAFRA,Continuous Education,Female,,Ministry of Education Curriculum,127,1,0,,0,0,0,
emirate=AL DHAFRA | education_type=Continuous Education | gender=Male | curriculum=Ministry of Education Curriculum,AL DHAFRA,Continuous Education,Male,,Ministry of Education Curriculum,216,1,0,,0,0,0,
emirate=AL DHAFRA | education_type=Private Schools MOE Curriculum | curriculum=U.A.E,AL DHAFRA,Private Schools MOE Curriculum,,,U.A.E,1481,2,137,10.8102,0,0,0,
emirate=AL DHAFRA | education_type=Private Schools MOE Curriculum | gender=Female | curriculum=U.A.E,AL DHAFRA,Private Schools MOE Curriculum,Female,,U.A.E,648,2,137,4.7299,0,0,0,
emirate=AL DHAFRA | education_type=Private Schools MOE Curriculum | gender=Male | curriculum=U.A.E,AL DHAFRA,Private Schools MOE Curriculum,Male,,U.A.E,833,2,137,6.0803,0,0,0,
emirate=AL DHAFRA | education_type=Private Schools MOE Curriculum | curriculum=U.A.E;Charter Schools-ADEK,AL DHAFRA,Private Schools MOE Curriculum,,,U.A.E;Charter Schools-ADEK,1481,1,137,10.8102,0,0,0,
emirate=AL DHAFRA | education_type=Private Schools MOE Curriculum | gender=Female | curriculum=U.A.E;Charter Schools-ADEK,AL DHAFRA,Private Schools MOE Curriculum,Female,,U.A.E;Charter Schools-ADEK,648,1,137,4.7299,0,0,0,
emirate=AL DHAFRA | education_type=Private Schools MOE Curriculum | gender=Male | curriculum=U.A.E;Charter Schools-ADEK,AL DHAFRA,Private Schools MOE Curriculum,Male,,U.A.E;Charter Schools-ADEK,833,1,137,6.0803,0,0,0,
emirate=AL DHAFRA | education_type=Public | curriculum=Ministry of Education Curriculum,AL DHAFRA,Public,,,Ministry of Education Curriculum,10019,24,1004,9.9791,0,0,0,
emirate=AL DHAFRA | education_type=Public | gender=Female | curriculum=Ministry of Education Curriculum,AL DHAFRA,Public,Female,,Ministry of Education Curriculum,5156,24,1004,5.1355,0,0,0,
emirate=AL DHAFRA | education_type=Public | gender=Male | curriculum=Ministry of Education Curriculum,AL DHAFRA,Public,Male,,Ministry of Education Curriculum,4863,24,1004,4.8436,0,0,0,
emirate=AL FUJAIRAH | education_type=Applied Technology High School (ATHS) | curriculum=ATHS,AL FUJAIRAH,Applied Technology High School (ATHS),,,ATHS,675,1,51,13.2353,0,0,0,
emirate=AL FUJAIRAH | education_type=Applied Technology High School (ATHS) | gender=Female | curriculum=ATHS,AL FUJAIRAH,Applied Technology High School (ATHS),Female,,ATHS,0,1,51,0.0,0,0,0,
emirate=AL FUJAIRAH | education_type=Applied Technology High School (ATHS) | gender=Male | curriculum=ATHS,AL FUJAIRAH,Applied Technology High School (ATHS),Male,,ATHS,675,1,51,13.2353,0,0,0,
emirate=AL FUJAIRAH | education_type=Continuous Education | curriculum=Ministry of Education Curriculum,AL FUJAIRAH,Continuous Education,,,Ministry of Education Curriculum,2103,1,0,,0,0,0,
emirate=AL FUJAIRAH | education_type=Continuous Education | gender=Female | curriculum=Ministry of Education Curriculum,AL FUJAIRAH,Continuous Education,Female,,Ministry of Education Curriculum,261,1,0,,0,0,0,
emirate=AL FUJAIRAH | education_type=Continuous Education | gender=Male | curriculum=Ministry of Education Curriculum,AL FUJAIRAH,Continuous Education,Male,,Ministry of Education Curriculum,1842,1,0,,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools MOE Curriculum | curriculum=U.A.E,AL FUJAIRAH,Private Schools MOE Curriculum,,,U.A.E,2599,3,237,10.9662,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools MOE Curriculum | gender=Female | curriculum=U.A.E,AL FUJAIRAH,Private Schools MOE Curriculum,Female,,U.A.E,1261,3,237,5.3207,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools MOE Curriculum | gender=Male | curriculum=U.A.E,AL FUJAIRAH,Private Schools MOE Curriculum,Male,,U.A.E,1338,3,237,5.6456,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=American,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,,,American,16348,3,782,20.9054,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=American,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,Female,,American,7775,3,782,9.9425,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=American,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,Male,,American,8573,3,782,10.9629,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=G.C.S.E,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,,,G.C.S.E,16348,4,782,20.9054,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=G.C.S.E,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,Female,,G.C.S.E,7775,4,782,9.9425,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=G.C.S.E,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,Male,,G.C.S.E,8573,4,782,10.9629,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=Indian,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,,,Indian,16348,5,782,20.9054,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=Indian,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,Female,,Indian,7775,5,782,9.9425,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=Indian,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,Male,,Indian,8573,5,782,10.9629,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=Pakistani,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,,,Pakistani,16348,1,782,20.9054,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=Pakistani,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,Female,,Pakistani,7775,1,782,9.9425,0,0,0,
emirate=AL FUJAIRAH | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Male | curriculum=Pakistani,AL FUJAIRAH,Private Schools Non MOE Curriculum in the four northern emirates,Male,,Pakistani,8573,1,782,10.9629,0,0,0,
emirate=AL FUJAIRAH | education_type=Public | curriculum=Ministry of Education Curriculum,AL FUJAIRAH,Public,,,Ministry of Education Curriculum,26109,45,1624,16.077,0,0,0,
emirate=AL FUJAIRAH | education_type=Public | gender=Female | curriculum=Ministry of Education Curriculum,AL FUJAIRAH,Public,Female,,Ministry of Education Curriculum,13668,45,1624,8.4163,0,0,0,
emirate=AL FUJAIRAH | education_type=Public | gender=Male | curriculum=Ministry of Education Curriculum,AL FUJAIRAH,Public,Male,,Ministry of Education Curriculum,12441,45,1624,7.6607,0,0,0,
emirate=AL FUJAIRAH | education_type=Public Ajyal | curriculum=Ministry of Education Curriculum,AL FUJAIRAH,Public Ajyal,,,Ministry of Education Curriculum,1371,2,89,15.4045,0,0,0,
emirate=AL FUJAIRAH | education_type=Public Ajyal | gender=Female | curriculum=Ministry of Education Curriculum,AL FUJAIRAH,Public Ajyal,Female,,Ministry of Education Curriculum,707,2,89,7.9438,0,0,0,
emirate=AL FUJAIRAH | education_type=Public Ajyal | gender=Male | curriculum=Ministry of Education Curriculum,AL FUJAIRAH,Public Ajyal,Male,,Ministry of Education Curriculum,664,2,89,7.4607,0,0,0,
emirate=DUBAI | education_type=Applied Technology High School (ATHS) | curriculum=ATHS,DUBAI,Applied Technology High School (ATHS),,,ATHS,440,1,56,7.8571,0,0,0,
emirate=DUBAI | education_type=Applied Technology High School (ATHS) | gender=Female | curriculum=ATHS,DUBAI,Applied Technology High School (ATHS),Female,,ATHS,0,1,56,0.0,0,0,0,
emirate=DUBAI | education_type=Applied Technology High School (ATHS) | gender=Male | curriculum=ATHS,DUBAI,Applied Technology High School (ATHS),Male,,ATHS,440,1,56,7.8571,0,0,0,
emirate=DUBAI | education_type=Continuous Education | curriculum=Ministry of Education Curriculum,DUBAI,Continuous Education,,,Ministry of Education Curriculum,1783,1,0,,0,0,0,
emirate=DUBAI | education_type=Continuous Education | gender=Female | curriculum=Ministry of Education Curriculum,DUBAI,Continuous Education,Female,,Ministry of Education Curriculum,602,1,0,,0,0,0,
emirate=DUBAI | education_type=Continuous Education | gender=Male | curriculum=Ministry of Education Curriculum,DUBAI,Continuous Education,Male,,Ministry of Education Curriculum,1181,1,0,,0,0,0,
emirate=DUBAI | education_type=Private Schools MOE Curriculum | curriculum=U.A.E,DUBAI,Private Schools MOE Curriculum,,,U.A.E,13538,13,1152,11.7517,0,0,0,
emirate=DUBAI | education_type=Private Schools MOE Curriculum | gender=Female | curriculum=U.A.E,DUBAI,Private Schools MOE Curriculum,Female,,U.A.E,6476,13,1152,5.6215,0,0,0,
emirate=DUBAI | education_type=Private Schools MOE Curriculum | gender=Male | curriculum=U.A.E,DUBAI,Private Schools MOE Curriculum,Male,,U.A.E,7062,13,1152,6.1302,0,0,0,
emirate=DUBAI | education_type=Public | curriculum=Ministry of Education Curriculum,DUBAI,Public,,,Ministry of Education Curriculum,27875,48,1793,15.5466,0,0,0,
emirate=DUBAI | education_type=Public | gender=Female | curriculum=Ministry of Education Curriculum,DUBAI,Public,Female,,Ministry of Education Curriculum,14659,48,1793,8.1757,0,0,0,
emirate=DUBAI | education_type=Public | gender=Male | curriculum=Ministry of Education Curriculum,DUBAI,Public,Male,,Ministry of Education Curriculum,13216,48,1793,7.3709,0,0,0,
emirate=DUBAI | education_type=Public Ajyal | curriculum=Ministry of Education Curriculum,DUBAI,Public Ajyal,,,Ministry of Education Curriculum,2181,4,173,12.6069,0,0,0,
emirate=DUBAI | education_type=Public Ajyal | gender=Female | curriculum=Ministry of Education Curriculum,DUBAI,Public Ajyal,Female,,Ministry of Education Curriculum,1068,4,173,6.1734,0,0,0,
emirate=DUBAI | education_type=Public Ajyal | gender=Male | curriculum=Ministry of Education Curriculum,DUBAI,Public Ajyal,Male,,Ministry of Education Curriculum,1113,4,173,6.4335,0,0,0,
emirate=Ras Al Khaimah | education_type=Applied Technology High School (ATHS) | curriculum=ATHS,Ras Al Khaimah,Applied Technology High School (ATHS),,,ATHS,712,1,67,10.6269,0,0,0,
emirate=Ras Al Khaimah | education_type=Applied Technology High School (ATHS) | gender=Female | curriculum=ATHS,Ras Al Khaimah,Applied Technology High School (ATHS),Female,,ATHS,0,1,67,0.0,0,0,0,
emirate=Ras Al Khaimah | education_type=Applied Technology High School (ATHS) | gender=Male | curriculum=ATHS,Ras Al Khaimah,Applied Technology High School (ATHS),Male,,ATHS,712,1,67,10.6269,0,0,0,
emirate=Ras Al Khaimah | education_type=Continuous Education | curriculum=Ministry of Education Curriculum,Ras Al Khaimah,Continuous Education,,,Ministry of Education Curriculum,935,1,0,,0,0,0,
emirate=Ras Al Khaimah | education_type=Continuous Education | gender=Female | curriculum=Ministry of Education Curriculum,Ras Al Khaimah,Continuous Education,Female,,Ministry of Education Curriculum,263,1,0,,0,0,0,
emirate=Ras Al Khaimah | education_type=Continuous Education | gender=Male | curriculum=Ministry of Education Curriculum,Ras Al Khaimah,Continuous Education,Male,,Ministry of Education Curriculum,672,1,0,,0,0,0,
emirate=Ras Al Khaimah | education_type=Private Schools MOE Curriculum | curriculum=U.A.E,Ras Al Khaimah,Private Schools MOE Curriculum,,,U.A.E,9307,16,823,11.3086,0,0,0,
emirate=Ras Al Khaimah | education_type=Private Schools MOE Curriculum | gender=Female | curriculum=U.A.E,Ras Al Khaimah,Private Schools MOE Curriculum,Female,,U.A.E,4479,16,823,5.4423,0,0,0,
emirate=Ras Al Khaimah | education_type=Private Schools MOE Curriculum | gender=Male | curriculum=U.A.E,Ras Al Khaimah,Private Schools MOE Curriculum,Male,,U.A.E,4828,16,823,5.8663,0,0,0,
emirate=Ras Al Khaimah | education_type=Private Schools Non MOE Curriculum in the four northern emirates | curriculum=American,Ras Al Khaimah,Private Schools Non MOE Curriculum in the four northern emirates,,,American,25641,3,1321,19.4103,0,0,0,
emirate=Ras Al Khaimah | education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female | curriculum=American,Ras Al Khaimah,Private Schools Non MOE Curriculum in the four northern emirates,Female,,American,12355,3,1321,9.3528,0,0,0,
